county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Sonoma,25/09/2021,42,0,42,659,16,0,13
Shasta,09/06/2020,1,0,1,667,0,0,9
Fresno,29/06/2020,116,54,170,2005,30,2,76
Mono,23/11/2020,1,0,1,17,0,0,2
Solano,14/06/2020,14,7,21,707,6,1,49
Sonoma,19/05/2020,4,24,28,871,2,2,54
Marin,27/05/2020,1,1,2,390,1,0,10
Santa Clara,04/08/2020,171,29,200,3230,53,1,104
Los Angeles,13/07/2021,406,85,491,19025,88,3,661
Santa Cruz,23/04/2021,3,0,3,372,0,0,9
Placer,27/10/2020,18,14,32,784,3,3,29
Los Angeles,17/05/2021,352,80,432,18970,79,12,680
Tuolumne,25/05/2020,0,0,0,151,0,0,2
Solano,12/01/2021,176,17,193,618,48,4,3
Orange,19/01/2021,1975,43,2018,5969,527,7,74
Ventura,17/08/2020,70,26,96,1298,25,6,47
Kern,16/01/2021,407,4,411,1160,89,0,17
San Joaquin,09/06/2020,45,31,76,1366,18,7,17
Madera,03/10/2020,7,6,13,263,1,0,23
Solano,23/04/2020,11,15,26,204,5,4,31
Glenn,25/06/2020,0,0,0,47,0,0,
Imperial,10/09/2021,30,0,30,236,9,0,3
Inyo,29/03/2020,,,,,,,
Santa Cruz,03/08/2020,15,11,26,276,3,3,11
Inyo,10/10/2020,1,0,1,29,0,0,4
Lassen,17/02/2021,0,0,0,25,0,0,0
Santa Clara,30/05/2021,40,16,56,2987,13,2,72
Humboldt,02/04/2020,1,8,,,0,2,8
Napa,28/07/2020,11,2,13,359,4,0,13
Fresno,05/07/2021,42,16,58,1508,7,1,34
Nevada,01/10/2020,3,1,4,124,1,0,2
Imperial,25/06/2021,6,0,6,236,2,0,8
San Diego,21/05/2020,325,53,378,6180,139,6,313
Mariposa,28/05/2021,0,0,0,14,0,0,0
Butte,30/07/2020,30,1,31,451,9,1,2
Kern,07/02/2021,270,2,272,1148,59,0,34
Mendocino,28/03/2021,0,0,0,112,0,0,3
Del Norte,22/09/2021,13,0,13,47,5,0,0
Madera,12/11/2020,11,14,25,329,2,0,16
Stanislaus,02/07/2021,54,9,63,1306,11,1,38
Kings,23/10/2020,19,1,20,193,3,1,12
San Bernardino,05/09/2021,527,26,553,3586,151,5,132
Sutter,12/12/2020,0,0,0,14,0,0,0
San Francisco,16/04/2020,84,35,,,31,9,64
El Dorado,05/01/2021,40,0,40,190,12,0,6
Del Norte,10/04/2020,0,3,,,0,0,4
Lake,27/03/2021,1,0,1,63,0,0,0
Butte,04/04/2021,13,0,13,451,2,0,17
El Dorado,03/04/2020,15,9,,,0,4,14
Plumas,26/05/2020,0,0,0,45,0,0,
Ventura,06/06/2021,15,2,17,1137,2,0,56
Mariposa,15/10/2020,0,0,0,19,0,0,0
Marin,14/07/2020,32,2,34,392,9,0,26
San Mateo,21/04/2021,17,8,25,686,3,2,22
Tuolumne,30/12/2020,10,0,10,84,2,0,3
Nevada,18/08/2020,0,2,2,108,0,0,2
Humboldt,09/09/2020,4,0,4,272,2,0,1
Shasta,18/02/2021,12,0,12,567,2,0,19
Butte,25/08/2020,17,1,18,451,6,1,6
Modoc,27/05/2021,0,0,0,12,0,0,0
Yolo,26/10/2020,7,0,7,96,3,0,13
Mariposa,17/02/2021,0,0,0,14,0,0,0
Napa,17/04/2020,0,1,,,0,0,13
El Dorado,19/05/2021,4,0,4,190,0,0,4
Santa Cruz,02/12/2020,47,0,47,382,9,0,5
Glenn,04/05/2021,0,0,0,47,0,0,0
Calaveras,10/07/2021,1,0,1,33,0,0,4
Santa Cruz,28/09/2021,10,2,12,307,2,0,3
Solano,20/07/2020,52,6,58,707,17,0,43
Butte,18/05/2021,11,0,11,451,4,0,11
San Bernardino,02/07/2020,438,91,529,4793,156,13,85
Placer,28/06/2020,13,5,18,753,4,0,33
Yolo,25/02/2021,10,0,10,132,5,0,2
Yuba,11/09/2020,20,1,21,265,4,0,9
Calaveras,31/03/2020,0,1,,,0,0,4
Orange,02/03/2021,403,25,428,5830,107,7,256
Glenn,27/07/2021,0,0,0,47,0,0,0
Imperial,28/05/2021,9,1,10,236,1,0,4
Ventura,17/08/2021,143,7,150,1153,35,1,39
Siskiyou,05/06/2020,0,1,1,65,0,0,6
Alameda,15/07/2020,159,43,202,2968,58,10,143
Plumas,05/08/2020,0,0,0,51,0,0,0
Inyo,01/12/2020,1,0,1,29,1,0,2
Sacramento,02/07/2020,128,21,149,2492,34,6,82
Mono,17/12/2020,1,0,1,17,0,0,2
Mariposa,18/09/2020,0,0,0,19,0,0,0
Stanislaus,23/09/2020,91,24,115,1316,28,2,23
Lake,25/11/2020,2,0,2,77,0,0,3
Marin,29/05/2021,2,1,3,325,0,0,10
Yolo,10/12/2020,24,0,24,96,12,0,3
Santa Clara,06/03/2021,159,23,182,3020,46,3,55
Santa Barbara,01/03/2021,61,6,67,603,19,2,30
Butte,31/03/2020,4,20,,,2,3,2
Merced,16/05/2020,6,1,7,242,5,0,4
Tulare,06/08/2021,69,3,72,674,11,0,20
Ventura,30/04/2021,20,5,25,1155,2,1,42
Stanislaus,29/06/2020,113,29,142,1363,35,3,74
Santa Cruz,22/09/2020,17,0,17,276,3,0,6
Tulare,12/06/2021,7,3,10,650,0,0,23
Yuba,23/06/2020,6,1,7,445,1,0,10
Kings,29/08/2020,32,0,32,193,3,0,9
Plumas,25/07/2021,0,0,0,35,0,0,0
Amador,27/06/2021,1,1,2,53,1,0,0
Santa Clara,06/11/2020,103,14,117,3016,26,1,72
Kern,10/12/2020,236,11,247,1170,52,0,22
San Diego,30/04/2020,283,81,364,4933,122,19,357
Trinity,15/07/2020,0,0,0,54,0,0,
