county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Imperial,01/02/2021,73,0,73,234,30,0,1
Alameda,11/01/2021,428,50,478,2487,115,5,70
Mendocino,27/07/2020,6,2,8,150,1,0,0
Del Norte,18/09/2020,0,0,0,51,0,0,1
Ventura,21/01/2021,428,8,436,1174,91,0,25
Santa Clara,28/09/2021,135,18,153,3043,39,1,69
Fresno,06/08/2021,191,17,208,1528,34,1,18
Tulare,11/05/2020,35,0,35,920,10,0,20
Del Norte,17/10/2020,0,0,0,51,0,0,2
Lake,07/04/2020,0,0,,,0,0,1
Sacramento,05/05/2020,25,25,50,2323,13,6,119
Solano,07/06/2021,14,9,23,554,5,1,15
Fresno,22/07/2021,59,11,70,1536,13,2,24
Sutter,12/08/2021,0,0,0,14,0,0,0
Inyo,29/06/2020,0,0,0,42,0,0,2
San Benito,10/03/2021,2,0,2,25,0,0,1
Marin,22/08/2021,19,4,23,329,4,0,12
Yuba,05/12/2020,43,0,43,261,9,0,3
Del Norte,09/07/2020,0,0,0,51,0,0,2
Lake,08/07/2021,2,0,2,64,0,0,0
Merced,28/11/2020,19,0,19,271,9,0,7
Imperial,26/08/2020,31,2,33,259,12,0,9
Santa Barbara,09/06/2021,6,1,7,603,2,0,34
Humboldt,18/10/2020,3,1,4,269,1,0,4
Santa Clara,30/07/2021,93,20,113,3083,27,3,83
Mono,03/04/2020,18,2,,,0,0,2
Mono,26/09/2020,0,0,0,17,0,0,2
Del Norte,24/11/2020,0,0,0,51,0,0,1
San Mateo,08/04/2020,66,20,,,25,2,32
Yolo,19/09/2021,17,0,17,131,10,0,0
Los Angeles,05/05/2021,376,99,475,19181,84,7,622
Ventura,06/07/2020,92,28,120,1549,30,8,47
Shasta,29/06/2021,5,0,5,567,0,0,21
El Dorado,03/04/2021,0,0,0,190,0,0,5
Siskiyou,06/06/2021,1,0,1,56,1,0,6
Los Angeles,31/01/2021,5259,300,5559,19226,1415,36,327
Tehama,22/04/2020,0,0,0,,0,0,4
Santa Barbara,12/08/2021,15,2,17,402,3,1,26
Stanislaus,08/07/2020,170,45,215,1372,50,5,81
Kern,30/05/2021,28,6,34,1108,6,0,55
Tehama,27/11/2020,12,0,12,59,4,0,1
Ventura,24/04/2020,24,63,87,1283,6,3,40
Contra Costa,15/08/2020,95,24,119,1450,36,7,46
Sonoma,12/04/2020,3,11,,,1,3,25
Sutter,07/12/2020,0,0,0,14,0,0,0
Mono,20/08/2021,0,0,0,17,0,0,1
Tulare,17/07/2021,14,5,19,649,1,0,26
Tuolumne,19/10/2020,1,0,1,84,0,0,6
Santa Cruz,18/06/2021,6,0,6,372,0,0,3
San Benito,20/08/2020,8,0,8,25,1,0,2
Lake,13/06/2020,0,1,1,110,0,1,0
Sutter,16/10/2020,0,0,0,14,0,0,0
Fresno,03/05/2020,45,43,88,2008,18,4,86
Sacramento,01/01/2021,469,29,498,2613,109,3,68
San Francisco,06/01/2021,233,10,243,2050,60,1,46
Kings,23/07/2021,15,0,15,116,1,0,3
San Diego,06/06/2020,285,76,361,6170,134,12,319
Placer,04/04/2021,35,9,44,781,6,1,21
Solano,14/12/2020,107,13,120,575,32,1,8
Madera,06/05/2020,0,0,0,568,0,0,15
San Joaquin,19/01/2021,305,9,314,923,78,0,4
Tehama,05/06/2021,3,0,3,59,1,0,4
Siskiyou,29/12/2020,2,0,2,56,1,0,9
Humboldt,11/11/2020,2,2,4,276,0,1,2
Kern,06/02/2021,244,3,247,1140,58,0,32
Tuolumne,05/08/2021,16,0,16,72,3,0,0
Santa Cruz,15/05/2021,2,0,2,372,1,0,11
Napa,20/09/2021,16,1,17,210,7,0,5
San Bernardino,05/07/2021,101,15,116,3557,23,1,147
Shasta,28/02/2021,16,0,16,567,4,0,22
San Bernardino,22/04/2020,149,201,345,3830,54,32,167
Tuolumne,12/01/2021,8,0,8,84,2,0,3
Yuba,20/05/2020,1,0,1,445,0,0,11
Riverside,07/08/2021,411,68,479,3414,85,2,88
Calaveras,16/01/2021,6,0,6,33,4,0,4
San Joaquin,20/07/2020,220,50,270,1430,71,8,44
Sonoma,24/05/2020,6,16,22,871,3,3,50
Fresno,22/04/2021,93,9,102,1494,19,0,12
Lake,15/06/2021,1,0,1,64,0,0,1
Madera,27/05/2020,2,2,4,528,0,0,24
Madera,27/09/2021,23,0,23,278,7,0,8
Riverside,12/12/2020,901,95,996,3480,169,10,39
Kern,29/06/2021,32,2,34,1180,10,0,44
Amador,03/01/2021,11,0,11,52,4,0,0
Santa Barbara,18/12/2020,102,5,107,688,21,1,40
Del Norte,10/07/2021,0,0,0,54,0,0,2
Amador,27/05/2021,3,0,3,53,1,0,2
Tulare,21/08/2020,58,3,61,715,11,0,17
Mendocino,03/08/2020,10,0,10,150,0,0,11
Contra Costa,18/08/2020,96,34,130,1473,28,5,47
Plumas,01/03/2021,0,0,0,35,0,0,0
Solano,05/05/2021,30,7,37,565,5,0,23
Santa Cruz,18/11/2020,20,1,21,389,6,0,1
Los Angeles,16/10/2020,752,324,1076,19999,200,34,941
San Bernardino,12/08/2021,486,17,503,3628,110,3,122
Yuba,03/02/2021,48,3,51,261,11,0,0
Inyo,07/08/2021,1,0,1,29,0,0,2
Tehama,13/05/2020,0,0,0,106,0,0,5
Ventura,04/07/2021,12,2,14,1130,4,0,51
Tehama,05/09/2021,22,0,22,59,4,0,0
Ventura,22/03/2021,56,9,65,1139,13,0,39
Mariposa,01/08/2021,0,0,0,12,0,0,0
Nevada,23/04/2020,1,3,4,116,0,1,6
Sutter,11/08/2021,0,0,0,14,0,0,0
Calaveras,01/05/2021,2,0,2,33,1,0,7
Tulare,05/01/2021,228,6,234,632,25,0,14
San Luis Obispo,06/07/2021,2,0,2,460,0,0,20
Placer,12/06/2021,28,13,41,798,6,0,28
Sacramento,18/04/2020,65,46,,,22,17,58
San Luis Obispo,06/04/2021,8,0,8,460,0,0,24
Madera,06/12/2020,27,9,36,275,6,1,5
Santa Clara,03/06/2020,30,27,57,3318,8,6,184
Sutter,28/02/2021,0,0,0,14,0,0,0
Humboldt,08/05/2021,11,3,14,270,2,0,3
San Joaquin,16/12/2020,315,8,323,955,75,1,4
Glenn,11/11/2020,0,0,0,47,0,0,0
Amador,25/04/2020,0,1,1,,0,1,5
San Benito,07/02/2021,11,0,11,25,4,0,0
Santa Barbara,19/09/2021,45,3,48,614,12,1,29
Sutter,12/05/2020,0,0,0,14,0,0,
Orange,28/05/2021,63,5,68,5831,14,1,259
Kings,20/11/2020,47,0,47,193,6,0,11
El Dorado,10/03/2021,2,1,3,190,0,1,4
Modoc,25/10/2020,0,1,1,41,0,0,0
Imperial,21/03/2021,14,1,15,234,4,0,6
Mendocino,26/04/2020,0,0,0,151,0,0,12
Nevada,13/08/2020,3,2,5,116,0,0,4
Stanislaus,15/03/2021,125,13,138,1309,29,1,20
San Francisco,07/04/2020,88,116,,,36,9,57
Tehama,18/02/2021,5,0,5,59,0,0,0
Kern,30/07/2020,230,17,247,1391,76,2,40
Solano,20/11/2020,57,8,65,585,11,0,13
Yolo,13/05/2021,3,0,3,131,0,0,4
Kings,16/01/2021,87,1,88,135,10,0,2
Tuolumne,06/04/2021,2,0,2,84,0,0,2
Sacramento,23/03/2021,85,10,95,2575,16,1,83
Contra Costa,12/07/2021,49,10,59,1314,11,1,48
San Benito,05/08/2021,4,0,4,25,0,0,1
Mariposa,19/06/2021,0,0,0,14,0,0,0
Yuba,04/02/2021,43,3,46,261,11,0,1
Santa Cruz,04/07/2021,2,0,2,372,0,0,11
Kern,26/11/2020,143,4,147,1285,32,1,48
Mariposa,19/05/2020,0,3,3,30,0,0,
Sacramento,27/05/2020,8,21,29,2401,6,3,87
Yuba,01/07/2020,8,1,9,445,2,1,7
Glenn,18/09/2021,3,0,3,47,0,0,0
Monterey,12/07/2021,9,0,9,724,3,0,24
San Mateo,01/06/2021,7,5,12,678,3,0,16
San Diego,09/05/2021,144,16,160,6493,41,4,217
Sonoma,15/02/2021,50,1,51,624,20,0,22
Sacramento,17/09/2020,109,32,141,2485,34,10,101
Fresno,15/04/2020,25,33,,,12,2,44
Siskiyou,22/05/2021,1,0,1,56,0,0,5
Tehama,14/06/2020,0,0,0,106,0,0,6
Contra Costa,25/07/2021,83,18,101,1335,19,3,34
Butte,29/09/2021,115,0,115,461,25,0,1
Ventura,13/03/2021,77,6,83,1161,21,0,43
Modoc,11/10/2020,0,0,0,41,0,0,0
Sutter,24/04/2020,0,0,0,,0,0,
Napa,28/05/2021,2,0,2,219,1,0,5
Butte,10/05/2020,1,2,3,448,0,1,21
Monterey,11/07/2020,42,0,42,845,10,0,94
Merced,25/09/2020,10,0,10,253,4,0,15
Napa,24/07/2021,5,1,6,202,0,0,3
San Francisco,05/09/2020,51,6,57,1808,22,0,64
Madera,15/07/2021,7,7,14,278,2,2,5
El Dorado,22/06/2020,1,0,1,235,1,0,7
Plumas,26/05/2021,0,0,0,35,0,0,0
San Luis Obispo,01/05/2020,3,4,7,526,1,2,21
Contra Costa,05/04/2021,35,9,44,1281,13,1,43
Santa Barbara,08/08/2020,84,8,92,666,31,0,41
San Mateo,19/12/2020,136,11,147,739,26,2,29
Kern,12/03/2021,95,4,99,1122,32,0,29
Merced,05/01/2021,58,0,58,271,16,0,3
San Joaquin,02/12/2020,162,7,169,1042,41,1,27
Modoc,02/03/2021,0,0,0,12,0,0,0
Mariposa,23/09/2021,0,0,0,12,0,0,0
Tehama,26/06/2020,0,0,0,106,0,0,5
Tehama,11/04/2021,3,0,3,59,1,0,2
Humboldt,04/03/2021,1,4,5,275,0,1,5
San Joaquin,07/08/2020,171,14,185,1022,73,0,13
Yuba,08/08/2020,26,0,26,265,7,0,9
Sonoma,27/04/2021,12,0,12,660,3,0,22
Solano,07/08/2021,94,8,102,606,16,1,6
Riverside,28/10/2020,149,63,212,3424,35,12,64
Sacramento,05/12/2020,371,30,401,2540,67,6,65
San Bernardino,27/04/2020,154,83,237,4556,49,18,183
Marin,04/08/2021,12,3,15,329,2,0,11
San Francisco,12/04/2020,92,44,,,30,7,71
San Joaquin,21/09/2021,205,14,219,974,73,0,4
Siskiyou,03/09/2020,0,0,0,56,0,0,8
Mono,17/04/2021,0,0,0,17,0,0,1
San Joaquin,16/06/2020,47,14,61,1376,18,2,20
Lassen,21/05/2021,0,0,0,25,0,0,0
Sonoma,08/12/2020,51,9,60,580,9,2,10
Santa Clara,09/07/2020,112,23,135,3438,45,4,193
Tehama,17/07/2021,2,0,2,59,2,0,4
Calaveras,14/11/2020,2,0,2,33,2,0,4
Amador,25/05/2020,0,0,0,51,0,0,1
Humboldt,30/09/2020,2,0,2,272,1,0,6
Inyo,15/09/2020,0,0,0,29,0,0,3
Lassen,26/09/2020,0,0,0,25,0,0,0
Modoc,10/08/2020,0,0,0,41,0,0,0
Santa Barbara,12/06/2020,30,4,34,717,9,0,58
Madera,18/08/2021,24,9,33,277,8,0,6
Lake,01/02/2021,5,0,5,63,3,0,1
Riverside,14/08/2021,488,47,535,3409,93,0,74
San Luis Obispo,16/08/2021,31,1,32,460,7,1,15
Humboldt,17/03/2021,5,5,10,270,1,0,7
Trinity,15/11/2020,0,0,0,25,0,0,0
Inyo,23/08/2020,0,0,0,29,0,0,4
Fresno,08/06/2021,56,10,66,1537,9,1,26
Mendocino,19/08/2021,32,0,32,89,8,0,2
Amador,20/08/2020,4,0,4,51,0,0,0
El Dorado,09/05/2020,0,4,4,171,0,0,11
Contra Costa,23/11/2020,94,14,108,1564,25,1,50
San Francisco,26/05/2020,40,47,87,2619,20,14,95
San Benito,10/08/2020,6,0,6,25,1,0,3
Monterey,05/09/2021,34,1,35,716,8,0,22
Imperial,04/12/2020,90,0,90,265,27,0,1
Placer,10/09/2021,206,11,217,767,50,0,13
Lassen,31/12/2020,6,0,6,25,0,0,0
Modoc,07/10/2020,0,2,2,41,0,0,0
Plumas,07/11/2020,0,0,0,35,0,0,0
Ventura,19/03/2021,63,8,71,1161,15,1,40
Santa Clara,20/07/2021,77,20,97,3035,18,3,86
Imperial,01/10/2021,21,0,21,236,8,0,11
Los Angeles,08/06/2020,1458,595,2053,23736,426,95,1301
Shasta,03/08/2020,7,0,7,434,3,0,8
Imperial,19/05/2020,74,4,78,200,19,0,10
San Francisco,17/07/2021,30,4,34,2155,13,0,94
San Joaquin,03/02/2021,209,6,215,909,71,1,7
Butte,26/01/2021,51,1,52,451,8,0,9
San Benito,27/09/2020,2,0,2,25,1,0,2
Contra Costa,26/08/2021,221,15,236,1387,52,1,37
Contra Costa,04/10/2020,34,19,53,1490,7,2,51
Yolo,28/04/2020,0,0,0,130,0,1,10
Kings,15/09/2021,71,0,71,132,12,0,2
San Diego,09/08/2020,265,59,324,6135,92,12,346
Merced,09/02/2021,39,0,39,271,20,0,1
Napa,21/02/2021,7,0,7,209,3,0,3
Butte,12/10/2020,6,0,6,451,4,0,10
San Diego,19/06/2021,61,6,67,6464,22,2,241
Sonoma,02/09/2021,68,2,70,642,17,0,19
Yolo,31/01/2021,12,0,12,123,8,0,1
Inyo,30/05/2020,0,0,0,42,0,0,3
Alameda,29/05/2021,40,29,69,2482,9,6,113
San Francisco,07/12/2020,117,6,123,1876,31,0,65
San Luis Obispo,31/01/2021,45,2,47,460,14,0,16
Ventura,26/04/2021,21,9,30,1119,2,2,45
Ventura,07/09/2021,136,7,143,1177,38,0,22
San Benito,09/03/2021,2,0,2,25,0,0,2
Siskiyou,13/10/2020,0,0,0,56,0,0,6
Merced,22/08/2020,32,1,33,253,13,0,2
Kern,07/04/2020,28,91,,,14,13,50
Napa,30/10/2020,4,1,5,200,0,0,9
Shasta,19/03/2021,6,0,6,567,2,0,26
Fresno,21/03/2021,125,19,144,1494,27,1,19
Nevada,21/01/2021,8,0,8,123,2,0,3
Marin,14/04/2021,4,1,5,314,2,1,15
Tehama,11/02/2021,9,0,9,59,2,0,0
Tulare,17/01/2021,202,7,209,651,27,0,14
Del Norte,28/05/2021,0,0,0,53,0,0,3
Fresno,12/11/2020,120,19,139,1672,28,1,15
Kings,05/04/2021,6,0,6,106,0,0,3
Kings,03/04/2021,8,0,8,114,0,0,4
Solano,19/10/2020,22,18,40,546,4,2,6
Placer,10/08/2020,65,34,99,736,13,4,29
Calaveras,26/07/2020,0,1,1,33,0,1,5
Solano,29/05/2021,12,10,22,575,2,1,21
Merced,26/03/2021,19,0,19,271,8,0,8
Tehama,25/08/2021,13,0,13,59,6,0,0
Ventura,09/10/2020,34,17,51,1255,19,7,49
Tulare,12/11/2020,40,7,47,679,3,0,18
Mariposa,04/06/2021,0,0,0,14,0,0,0
Los Angeles,01/04/2020,739,1332,,,335,220,492
Santa Barbara,25/06/2021,8,0,8,603,5,0,39
Tehama,16/09/2021,26,0,26,59,8,0,0
Kern,24/09/2020,72,2,74,1339,21,0,59
Fresno,23/12/2020,629,37,666,1587,126,1,4
Ventura,25/06/2020,60,38,98,1357,16,6,57
Kings,29/06/2020,55,1,56,199,6,0,2
Sutter,04/08/2021,0,0,0,14,0,0,0
Tulare,12/07/2020,86,3,89,835,10,1,13
Yuba,10/08/2020,24,1,25,265,7,0,8
Mendocino,30/06/2021,6,0,6,93,3,0,4
Fresno,08/01/2021,628,22,650,1560,117,2,9
Kern,27/12/2020,375,9,384,1096,73,0,12
Modoc,20/09/2020,0,0,0,41,0,0,0
Alameda,03/12/2020,206,49,255,2586,58,3,91
Glenn,27/06/2021,0,0,0,47,0,0,0
Mariposa,05/05/2021,0,0,0,14,0,0,0
Amador,12/10/2020,1,0,1,51,0,0,3
Amador,13/11/2020,4,1,5,51,0,0,6
San Diego,28/08/2021,664,27,691,6490,175,1,194
Sacramento,21/05/2020,7,100,107,2409,4,14,108
Merced,08/07/2021,5,0,5,272,1,0,12
Amador,28/04/2021,1,0,1,52,0,0,2
Glenn,20/10/2020,0,0,0,47,0,0,0
San Francisco,16/05/2020,44,30,74,2619,20,4,106
Tulare,04/08/2020,114,4,118,714,15,2,6
Tulare,01/08/2020,108,9,117,714,19,0,10
Solano,11/11/2020,30,14,44,563,10,2,15
Mono,08/05/2020,0,0,0,17,0,0,2
Santa Cruz,06/06/2021,4,0,4,372,0,0,7
Humboldt,10/01/2021,12,0,12,279,2,0,16
Marin,05/11/2020,4,6,10,352,1,0,15
Sonoma,22/06/2020,6,1,7,871,4,1,58
Orange,15/09/2020,202,56,258,5636,67,17,229
San Benito,06/11/2020,3,0,3,25,1,0,2
Plumas,11/01/2021,1,0,1,35,0,0,0
Yuba,09/08/2020,27,1,28,265,7,0,9
San Diego,13/05/2021,133,21,154,6477,43,4,201
Sonoma,18/10/2020,22,9,31,507,5,1,8
Amador,15/08/2020,7,0,7,51,1,0,4
Riverside,28/02/2021,307,57,364,3259,83,11,61
Mono,24/07/2021,0,0,0,17,0,0,2
Sutter,09/04/2021,0,0,0,14,0,0,0
Kings,15/07/2020,72,2,74,199,10,1,1
Siskiyou,12/06/2020,0,1,1,65,0,1,5
Contra Costa,23/12/2020,243,14,257,1537,54,2,24
San Mateo,28/07/2021,28,4,32,725,10,0,17
Kings,21/11/2020,45,1,46,193,8,0,8
Monterey,15/04/2021,16,0,16,720,0,0,27
Ventura,03/01/2021,377,23,400,1222,79,4,20
Glenn,09/01/2021,6,0,6,47,0,0,0
Monterey,09/08/2021,24,1,25,736,9,0,27
Mendocino,13/01/2021,16,0,16,115,4,0,2
Lassen,08/03/2021,0,0,0,25,0,0,0
Fresno,19/07/2021,53,17,70,1508,13,3,19
Trinity,02/05/2021,0,0,0,25,0,0,0
Lake,07/03/2021,0,0,0,63,0,0,1
Santa Cruz,08/01/2021,78,0,78,372,20,0,3
Mono,31/10/2020,0,0,0,17,0,0,2
Madera,11/02/2021,42,7,49,281,12,1,2
Humboldt,17/12/2020,7,4,11,275,3,2,11
Lake,03/09/2020,0,0,0,65,0,0,3
Santa Clara,29/06/2021,41,12,53,3048,19,0,99
Yuba,10/05/2020,0,0,0,445,0,0,6
Nevada,14/02/2021,6,0,6,126,0,0,6
Nevada,08/11/2020,3,0,3,124,0,0,7
Fresno,04/06/2021,50,10,60,1559,8,1,16
Modoc,30/12/2020,1,0,1,12,0,0,0
Solano,30/05/2021,14,11,25,593,2,2,18
Glenn,11/12/2020,5,0,5,47,0,0,0
Calaveras,11/06/2020,0,0,0,50,0,0,8
San Benito,24/08/2021,9,0,9,25,3,0,0
San Francisco,15/01/2021,240,4,244,2123,65,2,53
Shasta,13/05/2021,8,0,8,567,2,0,24
Orange,11/08/2020,440,66,506,5709,141,11,230
Inyo,08/02/2021,4,0,4,29,1,0,1
Del Norte,19/07/2020,0,2,2,51,0,1,1
Sutter,14/04/2020,0,0,,,,,
El Dorado,26/08/2020,1,1,2,189,1,1,9
San Joaquin,12/01/2021,321,14,335,918,84,1,1
Alameda,08/08/2021,201,31,232,2472,50,4,101
Contra Costa,08/12/2020,143,16,159,1562,39,3,34
Lassen,29/07/2021,1,0,1,25,0,0,0
Fresno,27/07/2021,103,13,116,1537,23,1,16
Stanislaus,27/05/2021,65,8,73,1295,12,1,33
Nevada,31/12/2020,10,0,10,125,5,0,0
San Benito,19/09/2020,3,0,3,25,1,0,1
Tehama,19/06/2020,0,0,0,106,0,0,1
Mendocino,14/05/2021,3,0,3,121,3,0,5
Riverside,18/05/2020,195,86,281,3994,68,18,210
Stanislaus,25/04/2021,123,8,131,1298,14,1,39
Stanislaus,24/10/2020,46,15,61,1323,12,2,15
Sonoma,07/11/2020,27,2,29,542,8,0,5
Stanislaus,30/07/2021,112,9,121,1306,23,4,35
Tehama,06/05/2021,4,0,4,54,1,0,2
Placer,17/05/2021,37,3,40,777,7,0,18
Calaveras,20/05/2020,0,0,0,50,0,0,10
San Bernardino,09/05/2020,145,86,231,4821,55,13,171
Imperial,05/08/2021,11,0,11,236,4,0,6
Tulare,11/08/2021,80,3,83,672,11,0,17
Tuolumne,14/05/2020,0,0,0,151,0,0,5
Ventura,28/07/2020,87,45,132,1307,22,11,40
Fresno,22/03/2021,126,16,142,1492,26,3,16
Alameda,10/09/2021,200,30,230,2550,65,4,80
Merced,14/03/2021,21,0,21,271,8,0,8
San Francisco,23/08/2020,92,17,109,1823,37,4,69
Riverside,05/06/2021,35,17,52,3177,6,3,103
San Mateo,27/03/2021,19,5,24,707,5,0,28
Placer,26/12/2020,192,11,203,747,25,0,23
Marin,05/01/2021,36,4,40,336,6,0,11
Madera,05/04/2021,5,13,18,278,1,2,10
Shasta,05/08/2021,27,0,27,561,7,0,20
Santa Clara,07/02/2021,327,18,345,3128,100,2,61
Stanislaus,11/07/2020,172,46,218,1393,45,4,75
El Dorado,09/08/2020,3,0,3,189,2,0,8
Alameda,18/07/2021,92,26,118,2459,28,3,101
Sacramento,01/12/2020,363,22,385,2595,77,5,64
Orange,04/04/2020,143,213,,,70,45,153
Alameda,17/05/2021,64,23,87,2476,18,2,113
Mariposa,14/07/2020,0,0,0,33,0,0,
Humboldt,07/05/2021,11,2,13,270,2,0,14
Santa Cruz,07/07/2021,2,0,2,372,0,0,6
Glenn,27/11/2020,0,0,0,47,0,0,0
Siskiyou,31/03/2021,1,0,1,56,0,0,4
Merced,09/08/2021,27,0,27,271,9,0,5
Shasta,18/04/2020,1,1,,,1,0,13
San Diego,16/06/2020,289,54,343,6168,130,12,320
Orange,10/10/2020,164,49,213,5768,57,5,237
Siskiyou,08/04/2020,0,3,,,0,1,5
Stanislaus,04/05/2020,34,11,45,995,2,3,90
Mono,22/05/2021,0,0,0,17,0,0,1
San Joaquin,02/01/2021,307,5,312,894,81,2,7
Yuba,05/03/2021,19,0,19,261,3,0,2
Monterey,02/09/2021,43,0,43,716,7,0,20
Santa Barbara,10/08/2020,79,8,87,666,31,1,46
Mono,25/11/2020,0,0,0,17,0,0,2
Mariposa,24/06/2021,0,0,0,14,0,0,0
Stanislaus,07/04/2020,28,40,,,13,9,32
San Luis Obispo,09/11/2020,8,0,8,460,4,0,25
Yolo,12/08/2020,8,0,8,96,6,0,4
Los Angeles,25/07/2021,825,105,930,18969,182,10,644
Mono,08/07/2021,0,0,0,17,0,0,2
Tulare,18/06/2021,6,3,9,669,1,0,21
San Mateo,09/07/2021,7,6,13,686,2,1,19
Contra Costa,14/07/2021,50,13,63,1342,13,2,42
Tulare,30/06/2021,12,3,15,668,1,0,19
Butte,05/08/2021,34,0,34,461,2,0,9
Riverside,31/05/2020,195,99,294,3954,62,15,141
Imperial,29/09/2020,23,0,23,259,8,0,6
Placer,18/08/2020,64,34,98,736,11,3,30
Los Angeles,07/05/2020,1771,552,2323,23461,548,90,1220
San Mateo,08/09/2021,56,5,61,705,18,1,20
San Benito,05/06/2020,0,0,0,25,0,0,1
Santa Barbara,11/07/2020,76,5,81,763,25,0,56
Modoc,05/03/2021,0,0,0,12,0,0,0
Del Norte,06/04/2020,0,3,,,0,0,0
San Mateo,24/04/2020,49,16,65,517,16,4,40
Tehama,14/07/2021,3,0,3,59,0,0,5
Yolo,27/03/2021,5,0,5,107,2,0,0
Kern,13/07/2021,35,11,46,1129,9,0,45
Trinity,10/08/2021,0,0,0,25,0,0,0
San Mateo,14/09/2020,38,12,50,676,10,5,34
Contra Costa,22/02/2021,81,10,91,1269,34,0,53
Trinity,15/01/2021,0,0,0,25,0,0,0
Marin,07/11/2020,6,7,13,359,2,1,17
Calaveras,18/03/2021,0,0,0,33,0,0,5
Butte,25/04/2020,0,3,3,424,0,0,14
Humboldt,18/09/2021,21,0,21,274,3,0,6
Calaveras,24/07/2020,1,1,2,33,0,1,6
Santa Clara,02/07/2021,37,6,43,3076,11,1,92
Amador,12/05/2020,0,0,0,51,0,0,1
Monterey,12/05/2020,6,1,7,829,5,0,106
Marin,21/01/2021,29,2,31,322,8,0,9
Napa,20/04/2020,1,2,,,1,0,8
Tulare,28/04/2021,22,4,26,667,3,0,33
Alameda,22/07/2021,120,32,152,2490,37,3,108
Santa Barbara,12/05/2020,24,5,29,717,9,2,83
Sonoma,19/10/2020,20,5,25,514,4,0,7
Shasta,31/08/2021,87,0,87,568,26,0,8
San Benito,30/07/2020,3,0,3,25,1,0,1
Butte,20/01/2021,51,0,51,451,8,0,9
Mendocino,01/11/2020,1,0,1,150,1,0,5
Ventura,20/07/2021,44,7,51,1127,7,0,49
San Diego,06/03/2021,357,27,384,6468,113,5,279
San Mateo,03/08/2020,58,15,73,682,14,3,26
Shasta,12/06/2021,16,0,16,567,5,0,20
Sutter,07/07/2020,0,0,0,14,0,0,
Santa Cruz,01/08/2021,10,1,11,372,2,0,7
Sacramento,15/04/2021,87,15,102,2608,20,1,83
Tehama,16/03/2021,4,0,4,59,0,0,1
Santa Cruz,23/03/2021,3,0,3,372,1,0,8
Kern,07/07/2020,203,20,223,1832,56,2,86
El Dorado,21/08/2021,22,1,23,190,8,1,0
Lassen,19/06/2020,0,0,0,25,0,0,
Glenn,02/10/2021,1,0,1,47,0,0,0
Siskiyou,10/05/2020,0,0,0,65,0,0,4
Plumas,29/03/2020,0,1,,,0,1,
Shasta,05/07/2021,4,0,4,561,0,0,23
San Francisco,26/08/2021,116,4,120,2161,37,0,80
Shasta,11/03/2021,9,0,9,567,3,0,18
Merced,08/08/2020,57,0,57,253,13,0,4
Santa Clara,19/01/2021,604,16,620,3140,145,5,37
Mariposa,22/06/2020,0,0,0,30,0,0,
Modoc,21/09/2020,0,0,0,41,0,0,0
Santa Barbara,20/05/2021,15,0,15,603,3,0,35
San Benito,12/07/2021,1,0,1,25,0,0,2
San Diego,24/06/2021,59,14,73,6470,23,4,276
Sacramento,26/11/2020,263,22,285,2547,50,3,73
Shasta,28/09/2020,6,1,7,561,1,0,13
Butte,19/07/2021,4,0,4,451,1,0,18
San Francisco,01/04/2021,22,8,30,2140,5,1,79
San Luis Obispo,03/06/2021,3,0,3,460,0,0,26
Santa Cruz,17/08/2020,12,15,27,276,3,1,14
San Francisco,09/09/2021,90,4,94,2129,24,0,88
Merced,01/09/2020,26,1,27,253,12,0,3
Lassen,30/08/2020,0,0,0,25,0,0,0
Yuba,03/10/2021,31,2,33,261,10,0,0
Sonoma,26/11/2020,30,2,32,565,6,0,9
Napa,06/06/2020,1,3,4,397,1,0,0
Solano,01/08/2020,48,18,66,576,15,2,9
Stanislaus,20/10/2020,52,26,78,1321,14,1,21
Stanislaus,01/09/2021,321,9,330,1375,71,1,14
Stanislaus,18/12/2020,352,10,362,1306,62,0,12
Inyo,22/05/2021,0,0,0,29,0,0,2
Humboldt,19/09/2021,17,0,17,274,3,0,5
Santa Barbara,24/05/2020,21,6,27,717,8,0,71
Modoc,30/10/2020,0,1,1,41,0,0,0
San Mateo,04/10/2020,28,12,40,676,9,1,32
Trinity,09/08/2021,0,0,0,25,0,0,0
Mariposa,01/05/2021,0,0,0,14,0,0,0
Alameda,01/07/2020,123,47,170,2968,43,12,141
Glenn,12/02/2021,0,0,0,47,0,0,0
Glenn,20/07/2020,0,1,1,47,0,0,
Humboldt,25/04/2020,0,3,3,308,0,0,4
Stanislaus,30/05/2021,67,4,71,1301,14,1,28
Yolo,25/09/2021,12,0,12,129,8,0,2
El Dorado,06/09/2021,30,0,30,190,11,0,0
Madera,02/04/2020,1,7,,,1,3,6
Madera,21/07/2020,45,13,58,350,13,1,22
San Diego,04/11/2020,278,51,329,6951,93,12,262
Imperial,05/04/2020,9,9,,,8,1,3
Butte,04/01/2021,84,1,85,451,9,0,13
Mendocino,22/10/2020,0,0,0,150,0,0,7
Lake,14/03/2021,2,0,2,64,1,0,2
Sonoma,19/06/2021,14,0,14,709,2,0,24
Amador,02/07/2020,1,0,1,51,1,0,0
Siskiyou,15/08/2020,0,0,0,56,0,0,0
